|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
Display all params|4FGL J2058.8-1442 |20 58 51.3|-14 42 31|    1.3373e-10|          3.0218e-11|                6.3729|PowerLaw        |                   |TXS 2056-149                |           000|
Display all params|4FGL J1811.7-1442 |18 11 42.2|-14 42 15|    8.9744e-10|          1.4491e-10|                6.0136|LogParabola     |                   |                            |          8200|
Display all params|4FGL J1122.5-1440 |11 22 33.8|-14 40 37|    1.2942e-10|          2.7739e-11|                6.4497|PowerLaw        |                   |                            |           261|
Display all params|4FGL J1830.1-1440 |18 30 08.5|-14 40 36|    2.5291e-10|          1.0771e-10|                4.3277|PowerLaw        |                   |                            |           016|
Display all params|4FGL J2030.5-1439 |20 30 31.5|-14 39 38|    2.0050e-10|          3.4395e-11|               10.0200|PowerLaw        |3FGL J2030.5-1439  |NVSS J203028-143918         |           000|
Display all params|4FGL J1044.5-1439 |10 44 30.0|-14 39 27|    1.4575e-10|          2.8271e-11|                5.6955|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0821.5-1436 |08 21 35.3|-14 36 31|    1.9109e-10|          3.5483e-11|                6.3088|LogParabola     |                   |                            |           000|
Display all params|4FGL J1855.9-1435 |18 55 58.7|-14 35 27|    7.2655e-10|          7.3499e-11|               12.6106|PLSuperExpCutoff|                   |PSR J1855-1436              |           000|
Display all params|4FGL J0937.9-1434 |09 37 54.0|-14 34 14|    3.1301e-10|          3.8270e-11|               13.1511|LogParabola     |3FGL J0937.9-1435  |NVSS J093754-143350         |           000|
Display all params|4FGL J2007.2-1433 |20 07 13.8|-14 33 34|    3.1191e-10|          5.0704e-11|                9.3302|LogParabola     |                   |NVSS J200711-143205         |           004|
Display all params|4FGL J1832.3-1433 |18 32 22.3|-14 33 32|    4.9376e-10|          9.8204e-11|                5.0661|PowerLaw        |                   |SNR G017.8-02.6             |           026|
Display all params|4FGL J2236.5-1433 |22 36 34.7|-14 33 21|    5.7415e-09|          1.1173e-10|              114.0420|LogParabola     |3FGL J2236.5-1432  |PKS 2233-148                |           000|
Display all params|4FGL J1400.6-1432 |14 00 37.9|-14 32 49|    1.1173e-09|          6.5145e-11|               26.3428|PLSuperExpCutoff|3FGL J1400.5-1437  |PSR J1400-1431              |           000|
Display all params|4FGL J2015.3-1432 |20 15 18.3|-14 32 30|    1.3399e-10|          3.3932e-11|                5.6979|PowerLaw        |3FGL J2015.3-1431  |NVSS J201525-143202         |           000|
Display all params|4FGL J1158.8-1430 |11 58 50.1|-14 30 04|    1.3819e-10|          3.3976e-11|                8.0000|PowerLaw        |                   |                            |           002|
Display all params|4FGL J1200.8-1429 |12 00 50.3|-14 29 23|    2.0006e-10|          3.4637e-11|                8.6380|PowerLaw        |3FGL J1200.9-1432  |NVSS J120055-143040         |           000|
Display all params|4FGL J1450.8-1424 |14 50 50.6|-14 24 21|    3.9184e-10|          4.8601e-11|                9.9850|LogParabola     |                   |                            |           000|
Display all params|4FGL J1821.1-1422 |18 21 08.8|-14 22 17|    3.5309e-09|          3.1707e-10|               12.2414|LogParabola     |1FGL J1821.1-1425c |SNR G016.7+00.1             |          8194|
Display all params|4FGL J1714.8-1421 |17 14 51.7|-14 21 59|    2.5311e-10|          6.2109e-11|                5.1631|LogParabola     |                   |                            |           000|
Display all params|4FGL J1801.6-1418 |18 01 39.5|-14 18 55|    5.9286e-10|          1.0169e-10|                7.1308|LogParabola     |                   |PSR J1801-1417              |           000|
Display all params|4FGL J1322.6-1418 |13 22 40.3|-14 18 28|    1.1597e-10|          2.8013e-11|                5.4171|PowerLaw        |                   |TXS 1319-140                |           000|
Display all params|4FGL J0009.7-1418 |00 09 45.7|-14 18 16|    1.9369e-10|          2.8530e-11|                9.1963|PowerLaw        |3FGL J0010.5-1425  |                            |           002|
Display all params|4FGL J2350.9-1416 |23 50 59.3|-14 16 32|    1.1762e-10|          2.5162e-11|                6.4936|PowerLaw        |                   |NVSS J235111-141557         |           000|
Display all params|4FGL J1815.8-1416 |18 15 53.0|-14 16 30|    1.5772e-09|          1.7707e-10|                9.4621|LogParabola     |                   |                            |          8192|
Display all params|4FGL J1810.5-1415 |18 10 31.8|-14 15 38|    4.5198e-10|          1.1535e-10|                3.1971|PowerLaw        |                   |                            |         12312|
Display all params|4FGL J1216.4-1358 |12 16 25.4|-13 58 27|    1.8234e-10|          3.3354e-11|                6.5842|PowerLaw        |                   |                            |           002|
Display all params|4FGL J1231.1-1412 |12 31 11.5|-14 12 05|    1.8333e-08|          2.1243e-10|              188.0092|PLSuperExpCutoff|3FGL J1231.2-1411  |PSR J1231-1411              |           000|
Display all params|4FGL J2150.1-1410 |21 50 09.3|-14 10 42|    2.9560e-10|          3.9903e-11|               14.5945|LogParabola     |3FGL J2150.2-1411  |TXS 2147-144                |           000|
Display all params|4FGL J1546.4-1409 |15 46 24.8|-14 09 44|    1.5947e-10|          4.0777e-11|                4.4211|LogParabola     |                   |                            |           000|
Display all params|4FGL J1141.5-1408 |11 41 32.8|-14 08 45|    2.4528e-10|          3.3360e-11|               10.6503|PowerLaw        |3FGL J1141.6-1406  |NVSS J114141-140753         |           000|
Display all params|4FGL J0423.1-1408 |04 23 11.3|-14 08 43|    5.8766e-11|          2.3923e-11|                5.0294|PowerLaw        |                   |                            |           000|
Display all params|4FGL J1235.1-1405 |12 35 10.9|-14 05 21|    7.5576e-11|          2.2497e-11|                7.3437|LogParabola     |                   |1RXS J123511.1-140332       |           000|
Display all params|4FGL J1743.2-1404 |17 43 14.5|-14 04 45|    2.1666e-10|          5.5594e-11|                3.3460|PowerLaw        |                   |                            |         12312|
Display all params|4FGL J1557.9-1404 |15 57 58.5|-14 04 26|    3.6734e-10|          5.2629e-11|                8.1458|LogParabola     |                   |PKS 1555-140                |           000|
Display all params|4FGL J0152.6-1404 |01 52 39.8|-14 04 10|    6.6054e-11|          2.1441e-11|                4.2027|PowerLaw        |                   |PKS 0150-14                 |           004|
Display all params|4FGL J0731.2-1403 |07 31 14.5|-14 03 56|    4.4088e-10|          6.6261e-11|                8.5290|LogParabola     |                   |PMN J0731-1402              |           000|
Display all params|4FGL J0744.4-1403 |07 44 28.1|-14 03 05|    1.9291e-10|          3.7937e-11|                5.3914|PowerLaw        |                   |                            |           003|
Display all params|4FGL J1212.7-1402 |12 12 45.1|-14 02 23|    8.4010e-11|          2.8978e-11|                4.8684|PowerLaw        |                   |1RXS J121240.3-140141       |           000|
Display all params|4FGL J0644.4-1401 |06 44 25.9|-14 01 06|    1.1738e-10|          4.0280e-11|                4.0838|PowerLaw        |                   |NVSS J064427-140026         |           000|
Display all params|4FGL J1649.1-1359c|16 49 06.6|-13 59 50|    2.2807e-10|          6.7760e-11|                3.6915|LogParabola     |                   |                            |          4144|
Display all params|4FGL J1032.3-1358 |10 32 20.4|-13 58 58|    1.1468e-10|          2.6741e-11|                4.7684|PowerLaw        |                   |TXS 1029-137                |           000|
Display all params|4FGL J0239.5-1353 |02 39 34.2|-13 53 16|    5.8116e-11|          1.9947e-11|                4.3618|PowerLaw        |                   |CRATES J023939.13-135409.6  |           000|
Display all params|4FGL J1824.4-1350e|18 24 26.6|-13 50 20|    9.9751e-09|          9.2664e-10|               27.3461|LogParabola     |                   |HESS J1825-137              |           004|
Display all params|4FGL J0957.3-1348 |09 57 19.5|-13 48 51|    5.8612e-10|          4.3930e-11|               22.7943|LogParabola     |3FGL J0957.5-1351  |PMN J0957-1350              |           000|
Display all params|4FGL J1806.2-1347 |18 06 14.7|-13 47 36|    4.0381e-10|          8.9148e-11|                4.0509|PowerLaw        |                   |                            |         12288|
Display all params|4FGL J1151.5-1347 |11 51 30.7|-13 47 22|    4.0691e-10|          4.1329e-11|               17.3091|LogParabola     |3FGL J1151.4-1346  |PMN J1151-1347              |           000|
Display all params|4FGL J2146.5-1344 |21 46 34.8|-13 44 05|    1.4873e-09|          6.6252e-11|               46.5250|LogParabola     |3FGL J2146.6-1344  |NVSS J214637-134359         |           000|
Display all params|4FGL J1537.9-1344 |15 37 56.8|-13 44 01|    1.1592e-10|          3.0426e-11|                6.9410|PowerLaw        |                   |1RXS J153757.1-134334       |           000|
Display all params|4FGL J1823.3-1340 |18 23 20.7|-13 40 03|    1.0637e-08|          4.3545e-10|               33.3508|LogParabola     |3FGL J1823.2-1339  |                            |           000|
Display all params|4FGL J1818.0-1339c|18 18 04.5|-13 39 10|    1.5073e-09|          2.0409e-10|                7.6753|LogParabola     |                   |                            |          8480|
Display all params|4FGL J1815.3-1336 |18 15 23.2|-13 36 19|    1.1026e-09|          1.6992e-10|                6.1184|LogParabola     |                   |                            |          8216|
Display all params|4FGL J0940.9-1335 |09 40 58.5|-13 35 21|    7.0321e-10|          4.5754e-11|               26.1069|LogParabola     |3FGL J0940.9-1337  |TXS 0938-133                |           000|
Display all params|4FGL J1256.8-1333 |12 56 51.5|-13 33 32|    1.1926e-10|          2.6261e-11|                4.9765|PowerLaw        |                   |                            |           004|
Display all params|4FGL J0653.8-1330 |06 53 51.4|-13 30 37|    1.5766e-10|          5.0303e-11|                6.8978|LogParabola     |                   |                            |           000|
Display all params|4FGL J1646.7-1330 |16 46 47.4|-13 30 09|    1.5008e-10|          4.7967e-11|                5.5107|PowerLaw        |3FGL J1646.9-1332  |TXS 1644-133                |           000|
Display all params|4FGL J1852.7-1242 |18 52 43.8|-12 42 48|    4.2617e-10|          8.3866e-11|                5.1273|LogParabola     |                   |                            |           017|
Display all params|4FGL J1226.8-1329 |12 26 52.5|-13 29 38|    6.1062e-10|          4.8502e-11|               19.9671|PowerLaw        |3FGL J1226.9-1329  |PMN J1226-1328              |           000|
Display all params|4FGL J0356.1-1329 |03 56 07.5|-13 29 10|    1.7287e-10|          2.8302e-11|                9.6332|PowerLaw        |                   |NVSS J035611-132908         |           004|
Display all params|4FGL J2000.6-1328 |20 00 37.9|-13 28 10|    4.4172e-10|          4.5871e-11|               12.7475|PowerLaw        |                   |TXS 1957-135                |           004|
Display all params|4FGL J1331.2-1325 |13 31 16.6|-13 25 42|    5.0291e-10|          5.5101e-11|               12.0310|LogParabola     |3FGL J1331.1-1328  |PMN J1331-1326              |           000|
Display all params|4FGL J2211.2-1325 |22 11 16.0|-13 25 08|    4.5003e-10|          3.7342e-11|               21.6939|PowerLaw        |                   |PKS 2208-137                |           000|
Display all params|4FGL J0718.2-1324 |07 18 12.9|-13 24 59|    2.0795e-10|          5.2622e-11|                4.3530|PowerLaw        |                   |NVSS J071813-132402         |           000|
Display all params|4FGL J1915.3-1324 |19 15 18.8|-13 24 23|    1.4621e-11|          1.1679e-11|                4.2892|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0045.8-1324 |00 45 53.2|-13 24 10|    8.6006e-11|          2.1303e-11|                5.9114|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0147.7-1321 |01 47 42.3|-13 21 58|    8.0448e-11|          2.1030e-11|                3.9336|PowerLaw        |                   |NVSS J014804-132019         |          4096|
Display all params|4FGL J1532.7-1319 |15 32 47.3|-13 19 34|    4.5842e-09|          1.0909e-10|               79.7845|LogParabola     |3FGL J1532.7-1319  |TXS 1530-131                |           000|
Display all params|4FGL J1858.3-1318 |18 58 19.0|-13 18 49|    4.9521e-10|          6.9820e-11|                7.9784|LogParabola     |                   |                            |           000|
Display all params|4FGL J1453.0-1318 |14 53 02.3|-13 18 42|    1.9834e-10|          3.4282e-11|                6.4062|PowerLaw        |                   |TXS 1450-131                |           000|
Display all params|4FGL J0324.3-1313 |03 24 23.4|-13 13 16|    1.1652e-10|          2.6825e-11|                4.8655|PowerLaw        |3FGL J0324.5-1315  |NVSS J032430-131002         |           002|
Display all params|4FGL J0221.2-1312 |02 21 15.1|-13 12 17|    8.3340e-11|          2.1271e-11|                5.3544|PowerLaw        |                   |TXS 0218-132                |           000|
Display all params|4FGL J1828.1-1312 |18 28 06.6|-13 12 07|    2.0581e-09|          3.2883e-10|                6.9210|LogParabola     |                   |                            |          8220|
Display all params|4FGL J0816.4-1311 |08 16 27.0|-13 11 50|    1.5202e-09|          6.7108e-11|               44.3220|LogParabola     |3FGL J0816.4-1311  |PMN J0816-1311              |           000|
Display all params|4FGL J1744.0-1311 |17 44 04.5|-13 11 27|    9.7166e-10|          8.6819e-11|               14.2798|LogParabola     |3FGL J1743.9-1310  |                            |           000|
Display all params|4FGL J1848.2-1309 |18 48 13.7|-13 09 43|    5.3106e-10|          8.6728e-11|                6.1871|LogParabola     |                   |                            |           005|
Display all params|4FGL J1852.2-1309 |18 52 17.7|-13 09 34|    7.1215e-10|          8.8104e-11|               10.5753|PLSuperExpCutoff|                   |PSR J1852-1310              |           000|
Display all params|4FGL J0405.6-1308 |04 05 40.5|-13 08 38|    6.6784e-10|          4.1921e-11|               30.0217|PowerLaw        |3FGL J0405.5-1307  |PKS 0403-13                 |           000|
Display all params|4FGL J0336.7-1305 |03 36 47.1|-13 05 55|    1.9099e-10|          3.1266e-11|                8.5837|LogParabola     |3FGL J0336.9-1304  |PKS 0334-131                |           000|
Display all params|4FGL J1733.0-1305 |17 33 03.2|-13 05 09|    5.2176e-09|          1.3259e-10|               65.6929|LogParabola     |3FGL J1733.0-1305  |PKS 1730-13                 |           000|
Display all params|4FGL J1824.1-1304 |18 24 07.7|-13 04 19|    2.5187e-09|          4.1402e-10|                5.6798|LogParabola     |                   |SNR G018.1-00.1             |          8218|
Display all params|4FGL J1820.2-1303 |18 20 17.7|-13 03 04|    7.9228e-10|          1.6657e-10|                4.0746|PowerLaw        |                   |                            |          8200|
Display all params|4FGL J1128.3-1301 |11 28 23.0|-13 01 33|    8.4290e-11|          2.4448e-11|                4.1663|PowerLaw        |                   |                            |           000|
Display all params|4FGL J2249.4-1300 |22 49 25.5|-13 00 02|    7.1909e-10|          1.5594e-10|                6.1306|PowerLaw        |                   |RBS 1899                    |           000|
Display all params|4FGL J0820.9-1258 |08 20 58.6|-12 58 29|    2.5251e-10|          3.3391e-11|                9.5412|PowerLaw        |3FGL J0820.9-1258  |PKS 0818-128                |           000|
Display all params|4FGL J1337.6-1257 |13 37 41.8|-12 57 06|    2.3788e-09|          8.0616e-11|               54.4529|LogParabola     |3FGL J1337.6-1257  |PKS 1335-127                |           000|
Display all params|4FGL J1829.4-1256 |18 29 25.0|-12 57 00|    2.2072e-09|          2.7162e-10|                8.5812|LogParabola     |                   |SNR G018.9-01.1             |          8192|
Display all params|4FGL J1332.6-1256 |13 32 37.0|-12 56 37|    2.8343e-09|          8.9102e-11|               54.6455|LogParabola     |3FGL J1332.6-1256  |PMN J1332-1256              |           000|
Display all params|4FGL J1826.1-1256 |18 26 08.4|-12 56 29|    5.4407e-08|          7.8389e-10|              112.1340|PLSuperExpCutoff|3FGL J1826.1-1256  |PSR J1826-1256              |           000|
Display all params|4FGL J2120.6-1254 |21 20 36.9|-12 54 35|    2.5826e-10|          3.3038e-11|               10.1933|PowerLaw        |3FGL J2120.4-1256  |NVSS J212035-125443         |           000|
Display all params|4FGL J0110.7-1254 |01 10 46.4|-12 54 28|    2.5208e-10|          3.1848e-11|               12.5113|PowerLaw        |3FGL J0110.9-1254  |1RXS J011050.0-125455       |           000|
Display all params|4FGL J0438.4-1254 |04 38 26.4|-12 54 19|    1.7938e-10|          3.0322e-11|                7.2024|PowerLaw        |3FGL J0438.3-1258  |PKS 0436-129                |           000|
Display all params|4FGL J0640.0-1253 |06 40 05.1|-12 53 46|    4.6955e-10|          5.4615e-11|               17.9850|PowerLaw        |3FGL J0640.0-1252  |TXS 0637-128                |           000|
Display all params|4FGL J2250.0-1250 |22 50 01.2|-12 50 55|    9.3244e-09|          2.0418e-10|               64.1677|LogParabola     |                   |PKS 2247-131                |           000|
Display all params|4FGL J1912.7-1250 |19 12 47.2|-12 50 20|    3.5781e-10|          5.9503e-11|                7.9787|PowerLaw        |                   |1RXS J191251.7-124929       |           016|
Display all params|4FGL J1759.8-1250 |17 59 50.0|-12 50 20|    6.1242e-10|          9.1736e-11|                6.8039|LogParabola     |                   |                            |          8194|
Display all params|4FGL J1750.8-1246 |17 50 53.9|-12 46 49|    3.7709e-10|          7.8944e-11|                4.5460|LogParabola     |                   |                            |           008|
Display all params|4FGL J2240.3-1246 |22 40 20.9|-12 46 37|    1.1495e-10|          3.1292e-11|                7.4520|PowerLaw        |                   |1RXS J224014.7-124736       |           000|
Display all params|4FGL J1708.6-1246 |17 08 37.3|-12 46 34|    2.0835e-10|          5.0395e-11|                3.9842|PowerLaw        |                   |                            |          4104|
Display all params|4FGL J1813.4-1246 |18 13 24.2|-12 46 04|    2.7725e-08|          3.6650e-10|              124.2119|PLSuperExpCutoff|3FGL J1813.4-1246  |PSR J1813-1246              |           000|
Display all params|4FGL J0900.7-1243 |09 00 42.0|-12 43 12|    3.5804e-10|          3.5829e-11|               13.8902|PowerLaw        |                   |TXS 0858-125                |           000|
Display all params|4FGL J1843.3-1242 |18 43 21.6|-12 42 47|    9.5192e-10|          9.9440e-11|               11.3016|LogParabola     |                   |                            |           000|
Display all params|4FGL J1939.7-1242 |19 39 44.5|-12 42 45|    1.5429e-10|          3.9292e-11|                3.8066|PowerLaw        |                   |                            |          4096|
Display all params|4FGL J1118.6-1235 |11 18 36.8|-12 35 46|    2.7649e-10|          3.4565e-11|               12.7550|PowerLaw        |                   |PKS 1115-12                 |           004|
Display all params|4FGL J1318.7-1234 |13 18 46.5|-12 34 52|    6.4025e-10|          4.8947e-11|               20.6941|LogParabola     |3FGL J1318.7-1232  |PMN J1318-1235              |           000|
Display all params|4FGL J1808.1-1234 |18 08 11.0|-12 34 31|    8.7582e-10|          1.1392e-10|                8.1719|LogParabola     |                   |                            |          8201|
Display all params|4FGL J0453.5-1233 |04 53 30.8|-12 33 40|    1.2152e-10|          2.7994e-11|                5.1543|PowerLaw        |                   |PKS 0451-126                |           001|
Display all params|4FGL J1818.3-1233 |18 18 18.6|-12 33 14|    5.5747e-10|          1.3577e-10|                3.9959|PowerLaw        |                   |                            |         12312|
Display all params|4FGL J1012.3-1232 |10 12 18.6|-12 32 59|    1.7335e-10|          2.9655e-11|                7.0589|PowerLaw        |                   |PKS B1009-123               |           258|
Display all params|4FGL J2253.2-1232 |22 53 14.0|-12 32 30|    3.6769e-10|          4.8649e-11|                9.9708|LogParabola     |3FGL J2253.1-1237  |TXS 2250-127                |           000|
Display all params|4FGL J1907.7-1232 |19 07 45.6|-12 32 18|    2.3864e-10|          5.2169e-11|                4.6524|PowerLaw        |                   |NVSS J190748-123221         |           000|
Display all params|4FGL J2243.7-1231 |22 43 42.5|-12 31 35|    3.5644e-10|          4.0936e-11|               14.8992|PowerLaw        |3FGL J2243.6-1230  |RBS 1888                    |           000|
Display all params|4FGL J1921.3-1231 |19 21 22.7|-12 31 34|    1.1914e-09|          7.2310e-11|               25.8533|LogParabola     |3FGL J1921.2-1232  |TXS 1918-126                |           000|
Display all params|4FGL J2233.9-1229 |22 33 59.8|-12 29 17|    1.5650e-10|          2.9350e-11|                6.5476|PowerLaw        |3FGL J2233.5-1235  |PKS 2231-127                |           004|
Display all params|4FGL J1742.2-1229 |17 42 13.1|-12 29 11|    2.6710e-10|          6.3352e-11|                3.7714|PowerLaw        |                   |                            |          4104|
Display all params|4FGL J1856.1-1222 |18 56 07.9|-12 22 30|    5.3773e-10|          6.8752e-11|                9.6463|PowerLaw        |3FGL J1856.1-1217  |                            |           000|
Display all params|4FGL J1912.4-1222 |19 12 28.4|-12 22 04|    1.4115e-09|          9.0121e-11|               20.6790|LogParabola     |3FGL J1912.6-1223  |TXS 1909-124                |           000|
Display all params|4FGL J1946.9-1220 |19 46 56.0|-12 20 09|    1.2668e-10|          4.4362e-11|                3.8923|LogParabola     |                   |                            |           016|
Display all params|4FGL J0055.1-1219 |00 55 07.3|-12 19 13|    7.4514e-10|          4.6395e-11|               27.3608|LogParabola     |3FGL J0055.2-1213  |TXS 0052-125                |           000|
Display all params|4FGL J1155.8-1217 |11 55 52.5|-12 17 05|    1.4236e-10|          2.9105e-11|                5.3672|PowerLaw        |                   |PKS B1153-119               |           000|
Display all params|4FGL J0257.9-1215 |02 57 58.1|-12 15 49|    2.2220e-10|          2.9139e-11|               12.3831|PowerLaw        |3FGL J0257.8-1216  |PMN J0257-1211              |           000|
Display all params|4FGL J1554.4-1215 |15 54 28.8|-12 15 30|    2.6877e-10|          5.0869e-11|                9.6206|LogParabola     |                   |GALEXASC J155432.61-121325.7|           000|
Display all params|4FGL J0850.1-1212 |08 50 09.9|-12 12 44|    1.7996e-09|          6.6332e-11|               53.0007|LogParabola     |3FGL J0850.2-1214  |PMN J0850-1213              |           000|
Display all params|4FGL J0107.3-1210 |01 07 18.2|-12 10 58|    1.9214e-10|          2.8168e-11|                8.7686|PowerLaw        |3FGL J0107.0-1208  |PMN J0107-1211              |           000|
Display all params|4FGL J1647.6-1210 |16 47 36.1|-12 10 31|    3.3500e-10|          6.9363e-11|                4.8972|LogParabola     |                   |NVSS J164737-121522         |           000|
Display all params|4FGL J1816.5-1208c|18 16 31.9|-12 08 41|    8.5243e-10|          1.4193e-10|                6.2684|PowerLaw        |                   |                            |          8248|
Display all params|4FGL J2307.4-1206 |23 07 27.4|-12 06 45|    1.3621e-10|          2.8209e-11|                6.2950|PowerLaw        |3FGL J2307.4-1208  |1RXS J230722.5-120520       |           000|
Display all params|4FGL J0807.7-1206 |08 07 44.1|-12 06 15|    1.4689e-10|          3.0226e-11|                7.0087|PowerLaw        |                   |CRATES J080736.06-120745.9  |           000|
Display all params|4FGL J0536.1-1205 |05 36 07.8|-12 05 37|    1.6649e-10|          3.7184e-11|                5.2584|LogParabola     |                   |                            |           000|
Display all params|4FGL J2152.0-1205 |21 52 05.6|-12 05 31|    2.0249e-10|          4.3505e-11|                8.7630|LogParabola     |                   |RBS 1791                    |           000|
Display all params|4FGL J2246.5-1204 |22 46 31.5|-12 04 51|    2.6313e-10|          3.7314e-11|                9.2463|PowerLaw        |                   |PKS 2243-123                |           016|
Display all params|4FGL J1124.1-1203 |11 24 11.6|-12 03 55|    1.7773e-10|          3.5343e-11|                5.4050|LogParabola     |                   |                            |           001|
Display all params|4FGL J1819.0-1203 |18 19 02.0|-12 03 43|    4.8715e-10|          1.2606e-10|                3.5865|PowerLaw        |                   |                            |         12312|
Display all params|4FGL J1826.5-1202c|18 26 35.7|-12 02 54|    2.5782e-09|          3.6304e-10|                6.6677|LogParabola     |                   |                            |          8244|
Display all params|4FGL J1041.1-1201 |10 41 09.4|-12 01 56|    2.0295e-10|          3.1014e-11|                9.6027|PowerLaw        |3FGL J1040.9-1205  |NVSS J104108-120332         |           000|
Display all params|4FGL J1238.5-1201 |12 38 30.1|-12 01 41|    5.1463e-10|          4.4875e-11|               20.2696|LogParabola     |3FGL J1239.1-1158  |TXS 1235-117                |           002|
Display all params|4FGL J1002.3-1200 |10 02 23.1|-12 00 22|    9.8939e-11|          2.6325e-11|                4.1413|PowerLaw        |                   |PMN J1002-1200              |           000|
Display all params|4FGL J0349.4-1159 |03 49 24.9|-11 59 39|    4.0956e-10|          3.6069e-11|               19.9176|PowerLaw        |3FGL J0349.2-1158  |1ES 0347-121                |           000|
Display all params|4FGL J1852.6-1159 |18 52 39.6|-11 59 13|    2.8756e-10|          6.5055e-11|                4.2482|PowerLaw        |                   |                            |           024|
Display all params|4FGL J1310.2-1158 |13 10 17.6|-11 58 24|    3.7855e-10|          3.7002e-11|               15.7752|PowerLaw        |3FGL J1310.2-1159  |TXS 1307-117                |           000|
Display all params|4FGL J0337.8-1157 |03 37 53.8|-11 57 35|    1.2875e-10|          2.8709e-11|                5.1504|PowerLaw        |                   |PKS 0335-122                |           000|
Display all params|4FGL J1914.6-1157 |19 14 39.7|-11 57 06|    4.0752e-10|          6.3989e-11|                7.2535|LogParabola     |                   |                            |           016|
Display all params|4FGL J0704.0-1153c|07 04 04.2|-11 53 11|    2.5776e-10|          6.0984e-11|                3.9235|PowerLaw        |                   |                            |          4136|
Display all params|4FGL J1359.1-1152 |13 59 10.7|-11 52 58|    3.9849e-11|          2.1440e-11|                3.8110|PowerLaw        |                   |2MASS J13592131-1150440     |          4096|
Display all params|4FGL J2304.0+5406e|23 04 02.2|+54 06 22|    1.3308e-09|          1.7310e-10|                9.2990|LogParabola     |                   |                            |           004|
Display all params|4FGL J1813.7-1152 |18 13 47.4|-11 52 25|    1.5838e-09|          1.7928e-10|                9.4771|LogParabola     |3FGL J1813.6-1148  |                            |          8192|
Display all params|4FGL J0206.4-1151 |02 06 24.4|-11 51 27|    8.7795e-10|          4.7844e-11|               33.2637|LogParabola     |3FGL J0206.4-1150  |PMN J0206-1150              |           000|
Display all params|4FGL J0003.9-1149 |00 03 59.7|-11 49 30|    3.2287e-10|          3.6462e-11|               13.4050|LogParabola     |3FGL J0003.8-1151  |PMN J0004-1148              |           000|
Display all params|4FGL J1318.3-1148 |13 18 23.5|-11 48 31|    1.2453e-10|          3.0718e-11|                4.7165|PowerLaw        |                   |                            |           256|
Display all params|4FGL J0754.4-1148 |07 54 26.5|-11 48 19|    1.8854e-09|          7.7010e-11|               41.8745|LogParabola     |3FGL J0754.4-1148  |TXS 0752-116                |           000|
Display all params|4FGL J1256.2-1146 |12 56 15.2|-11 46 32|    7.3734e-10|          4.7095e-11|               26.8231|PowerLaw        |3FGL J1256.3-1146  |PMN J1256-1146              |           000|
Display all params|4FGL J0625.3-1144 |06 25 21.5|-11 44 39|    1.5421e-10|          4.3590e-11|                3.0033|PowerLaw        |                   |                            |          4096|
Display all params|4FGL J0730.3-1141 |07 30 18.6|-11 41 20|    1.0802e-08|          1.6179e-10|              134.9180|LogParabola     |3FGL J0730.2-1141  |PKS 0727-11                 |           000|
Display all params|4FGL J0829.6-1140 |08 29 41.9|-11 40 56|    6.9053e-10|          4.9222e-11|               23.7167|LogParabola     |3FGL J0829.6-1137  |NVSS J082939-114103         |           000|
Display all params|4FGL J0058.6-1140 |00 58 36.0|-11 40 45|    1.1775e-10|          2.5198e-11|                6.3061|PowerLaw        |                   |NVSS J005832-114050         |           000|
Display all params|4FGL J1605.1-1140 |16 05 09.0|-11 40 17|    3.2630e-10|          4.6599e-11|                9.7375|PowerLaw        |                   |TXS 1602-115                |           000|
Display all params|4FGL J0230.4-1140 |02 30 27.5|-11 40 04|    3.3664e-11|          1.4065e-11|                4.3244|LogParabola     |                   |                            |           000|
Display all params|4FGL J2023.6-1139 |20 23 36.8|-11 39 31|    1.2139e-09|          6.2524e-11|               32.6993|LogParabola     |3FGL J2023.6-1139  |PMN J2023-1140              |           000|
Display all params|4FGL J1840.4-1139 |18 40 25.6|-11 39 04|    9.9145e-10|          1.1496e-10|                9.8916|LogParabola     |                   |                            |           000|
Display all params|4FGL J0618.9-1138 |06 18 59.6|-11 38 10|    2.9489e-10|          5.0781e-11|                6.0004|PowerLaw        |3FGL J0618.9-1138  |TXS 0616-116                |           000|
Display all params|4FGL J2153.8-1137 |21 53 50.6|-11 37 50|    6.5234e-10|          4.8289e-11|               20.6865|LogParabola     |3FGL J2154.0-1137  |PMN J2153-1136              |           000|
Display all params|4FGL J1810.1-1137 |18 10 10.3|-11 37 19|    4.5165e-10|          1.0342e-10|                4.3387|PowerLaw        |                   |                            |           024|
Display all params|4FGL J0116.0-1136 |01 16 00.1|-11 36 22|    7.5409e-10|          4.3781e-11|               30.6474|PowerLaw        |3FGL J0116.0-1134  |PKS 0113-118                |           000|
Display all params|4FGL J1817.9-1135 |18 17 57.0|-11 35 48|    1.0986e-09|          1.5804e-10|                6.9408|LogParabola     |                   |                            |          8458|
