name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23abjfuhi,SN2023uxr,01:30:42.95,-14:43:19.3,2242.86,g,18.3018,-19.74,24.364,10.886,13.478,SN Ia,0.09,-74.58779522,0.052
ZTF23abjstcg,SN2023uvb,09:53:58.56,-06:26:10.8,2245.0,r,18.7285,-15.46,>77.91,>13.99,>63.92,SN II,0.015,35.52944618,0.17
ZTF23abjunlm,SN2023vez,00:20:18.85,-14:32:19.3,2249.69,r,17.1266,-18.19,21.416,14.723,6.693,SN Iax,0.026,-75.47187253,0.081
ZTF23abkfsny,SN2023vcn,03:35:17.46,-27:45:03.9,2249.86,g,18.2236,-19.69,23.911,12.99,10.921,SN Ia-91T,0.086,-53.81120539,0.032
ZTF23abkgdei,SN2023vch,05:14:36.70,-23:48:26.2,2238.98,r,18.05,-17.94,>16.73,>6.04,10.69,SN Ia-pec,0.03516,-31.19356605,0.089
ZTF23ablimhl,SN2023vht,01:17:11.92,-18:40:18.0,2245.75,r,18.5107,-19.51,20.237,7.18,13.057,SN Ia,0.09,-79.67502124,0.047
ZTF23abluzif,SN2023vtr,09:31:21.14,-10:38:46.7,2245.0,r,17.8932,-18.87,22.199,7.499,14.7,SN Ia,0.05,28.53748496,0.095
ZTF23abnevza,SN2023vuc,00:55:07.29,-15:15:19.7,2245.8,g,18.1012,-18.91,>16.566,>2.98,13.586,SN II,0.056,-78.0963713,0.065
ZTF23abngbvw,SN2023vwh,04:09:59.61,-06:05:52.5,2253.89,r,17.5329,-19.78,>17.35,8.32,>9.03,SN Ibn,0.06,-38.42837291,0.275
ZTF23abnivuj,SN2023wed,09:58:00.38,-03:00:09.3,2252.98,g,18.3929,-19.95,>14.879,5.889,>8.99,SN Ia,0.1,38.48562928,0.107
ZTF23abnpoqp,SN2023wbt,23:45:51.15,-06:46:56.0,2251.67,r,18.8288,-17.20,>14.456,>5.96,8.496,SN Ib,0.036,-64.37825783,0.076
ZTF23abnyvka,SN2023wea,01:04:39.87,-02:07:24.0,2258.82,g,18.0294,-19.41,>29.224,>9.09,20.134,SN Ia,0.068,-64.79500204,0.07
ZTF23abochfb,SN2023wtq,01:21:55.67,-03:46:19.9,2260.73,g,18.4961,-20.73,29.888,9.563,20.325,SN Ic-BL,0.15,-65.53457159,0.094
ZTF23aboebgh,SN2023wml,11:39:08.69,-11:14:57.9,2287.98,r,17.7111,-21.46,>70.734,>37.94,32.794,SLSN-I,0.15,47.80527352,0.071
ZTF23aboicxj,SN2023wqf,09:28:49.25,-03:30:46.3,2261.98,g,17.5878,-19.40,20.197,9.181,11.016,SN Ia,0.0543,32.36097715,0.099
ZTF23abojjkh,SN2023woh,23:51:40.53,-18:28:46.8,2262.77,r,18.5103,-18.09,26.929,10.823,16.106,SN Iax,0.047,-73.75888713,0.062
ZTF23abolkiw,SN2023wpg,02:39:56.88,-02:07:54.3,2261.8,g,17.8814,-18.62,>33.869,>7.99,25.879,SN II,0.044,-53.94932006,0.086
