observations
ZTF18aahqmsr has a peak observation at 231.67
ZTF18aahrzkb has a peak observation at 1153.99
ZTF18aahshhp has a peak observation at 913.82
ZTF18aahtjsc has a peak observation at 575.74
ZTF18aahuujv has a peak observation at 682.75
ZTF18aahvkwq has a peak observation at 1957.98
ZTF18aahvndq has a peak observation at 991.8
ZTF18aahvpcy has a peak observation at 1641.89
ZTF18aahwhbk has a peak observation at 1779.71
ZTF18aaiiigm has a peak observation at 558.75
ZTF18aailmnv has a peak observation at 324.78
ZTF18aairuad has a peak observation at 227.76
ZTF18aaisqmw has a peak observation at 1204.01
ZTF18aaisuxz has a peak observation at 1858.03
ZTF18aaisybp has a peak observation at 936.8
ZTF18aaisyyp has a peak observation at 255.73
ZTF18aaivnak has a peak observation at 2116.82
ZTF18aaiwewk has a peak observation at 1637.89
ZTF18aaiwzie has a peak observation at 1988.0
ZTF18aaiykoz has a peak observation at 1025.74
ZTF18aaizerg has a peak observation at 857.07
ZTF18aajivpr has a peak observation at 956.79
ZTF18aajjhkq has a peak observation at 1231.93
ZTF18aajkcdn has a peak observation at 1909.99
ZTF18aajkrxi has a peak observation at 1683.8
ZTF18aajpjdi has a peak observation at 245.71
ZTF18aajqcue has a peak observation at 272.68
ZTF18aajtlbf has a peak observation at 229.95
ZTF18aajvqye has a peak observation at 2140.79
ZTF18aakaljn has a peak observation at 227.66
ZTF18aakctzv has a peak observation at 248.75
ZTF18aakecej has a peak observation at 232.68
ZTF18aakfabl has a peak observation at 423.99
ZTF18aakiwbs has a peak observation at 953.94
ZTF18aakkrjm has a peak observation at 971.71
ZTF18aaklpdo has a peak observation at 434.99
ZTF18aakrnvd has a peak observation at 312.69
ZTF18aakzliv has a peak observation at 235.98
ZTF18aalcxig has a peak observation at 247.91
ZTF18aamfrvy has a peak observation at 255.77
ZTF18aamftst has a peak observation at 312.69
ZTF18aamigmk has a peak observation at 245.95
ZTF18aamsgjq has a peak observation at 424.05
ZTF18aamtiwb has a peak observation at 1639.82
